Title,url
三陰交穴(屬「脾經」) - 老玩童玩老童玩 - 痞客邦,https://wooamooa.pixnet.net/blog/post/372972491-%E4%B8%89%E9%99%B0%E4%BA%A4%E7%A9%B4%28%E5%B1%AC%E3%80%8C%E8%84%BE%E7%B6%93%E3%80%8D%29
御漢堂中醫診所- 認識人體的寶穴：三陰交穴。 三陰交位置 ...,https://www.facebook.com/UMTCMCC/photos/%E8%AA%8D%E8%AD%98%E4%BA%BA%E9%AB%94%E7%9A%84%E5%AF%B6%E7%A9%B4%E4%B8%89%E9%99%B0%E4%BA%A4%E7%A9%B4%E4%B8%89%E9%99%B0%E4%BA%A4%E4%BD%8D%E7%BD%AE-%E5%85%A7%E8%B8%9D%E5%B0%96%E4%B8%8A3%E5%AF%B8%E6%89%8B%E5%9B%9B%E6%A9%AB%E6%8C%87%E8%99%95-%E8%84%9B%E9%AA%A8%E5%BE%8C%E7%B7%A3%E5%87%B9%E9%99%B7%E8%99%95%E6%98%AF%E6%88%91%E5%80%91%E8%BA%AB%E4%B8%8A%E4%B8%80%E5%80%8B%E9%9D%9E%E5%B8%B8%E9%87%8D%E8%A6%81%E7%9A%84%E8%A8%BA%E6%96%B7%E6%B2%BB%E7%99%82%E8%88%87%E9%A4%8A%E7%94%9F%E7%9A%84%E5%A4%A7%E7%A9%B4%E4%BD%8D%E7%A9%B4%E4%BD%8D%E5%9C%A8%E8%B6%B3%E5%A4%AA%E9%99%B0%E8%84%BE%E7%B6%93%E4%B8%8A%E4%B9%9F%E6%98%AF%E6%98%AF%E8%82%9D%E8%84%BE%E8%85%8E%E4%B8%89%E6%A2%9D%E7%B6%93%E7%B5%A1%E7%9A%84%E4%BA%A4/1300566810098645/
三陰交穴- 康健雜誌,https://www.commonhealth.com.tw/search?keyword=%E4%B8%89%E9%99%B0%E4%BA%A4%E7%A9%B4
常揉三陰交終身不變老@ 好文分享:: 隨意窩Xuite日誌,https://blog.xuite.net/justchange/mail/38438450-%E5%B8%B8%E6%8F%89%E4%B8%89%E9%99%B0%E4%BA%A4+%E7%B5%82%E8%BA%AB%E4%B8%8D%E8%AE%8A%E8%80%81
醫砭» 經穴庫(500穴) » 三陰交,http://yibian.hopto.org/acu/?ano=82
三陰交穴怎麼找？三陰交穴主治什麼病？ - 每日頭條,https://kknews.cc/zh-tw/health/j8mg6nl.html
三陰交穴的5大神奇作用：每天按一按，疾病走光光！ - 每日頭條,https://kknews.cc/zh-tw/health/j8p3llq.html
天天檢查婦科、男科第一要穴- 今周刊,https://www.businesstoday.com.tw/article-content-80497-108382-%E5%A4%A9%E5%A4%A9%E6%AA%A2%E6%9F%A5%E5%A9%A6%E7%A7%91%E3%80%81%E7%94%B7%E7%A7%91%E7%AC%AC%E4%B8%80%E8%A6%81%E7%A9%B4
三陰交穴位置| 三陰交穴痛- 穴道按摩與穴位引導經絡功效圖解 ...,https://www.acupoint361.com/2017/04/sanyinjiao.html
經痛殺手三陰交按起來!｜陳峙嘉｜穴位大師- YouTube,https://www.youtube.com/watch?v=1d79GYJ3iOk
穴位保健  三陰交穴（調整脾肝腎活力） | KingNet 國家網路醫藥 ...,https://www.kingnet.com.tw/knNew/news/single-article.html?newId=41997
腳上有6個「黃金穴」：助眠、抗老、緩解倦怠感｜健康2.0,https://health.tvbs.com.tw/regimen/309705
上班久坐久站易水腫按三陰交穴好處多  TVBS新聞網,https://news.tvbs.com.tw/ttalk/detail/life/13193
女性三陰交穴位施灸的生理意義與護理應用 - 台灣護理學會,https://www.twna.org.tw/TWNA_BACKEND/upload/web/ePublication/7813/JNv62n6-005-012.pdf
長期久坐，水腫成蘿蔔腿！中醫傳授4穴位，小腿快速瘦一圈 ...,https://heho.com.tw/archives/27685
三阴交穴_百度百科,https://baike.baidu.com/item/%E4%B8%89%E9%98%B4%E4%BA%A4%E7%A9%B4
三陰交穴降血壓維持年輕，延緩衰老@ Gina Q :: 痞客邦::,http://ginnies.pixnet.net/blog/post/37396984
女性萬用穴道！3招按摩改善更年期、經期症狀| 三陰交穴| 婦科 ...,https://www.epochtimes.com/b5/20/4/15/n12031546.htm
第二部份：三陰交的兩大超級功效：調脾胃和治婦科病_向脾胃 ...,http://www.book853.com/show.aspx?id=2610&cid=173&page=34
三陰交- 維基百科，自由的百科全書 - Wikipedia,https://zh.wikipedia.org/zh-tw/%E4%B8%89%E9%99%B0%E4%BA%A4
神奇的「三陰交穴」！！女人按了不再經痛、改善 ... - LIFE生活網,https://life.tw/?app=view&no=214980
三陰交穴- A+醫學百科,http://cht.a-hospital.com/w/%E4%B8%89%E9%98%B4%E4%BA%A4%E7%A9%B4
答疑解惑| 为什么按揉三阴交会疼痛？ - 头条文章 - 微博,https://card.weibo.com/article/m/show/id/2309404392105895133269
Airiti Library華藝線上圖書館_健康女性三阴交穴伏安特性与血流 ...,https://www.airitilibrary.com/Publication/alDetailedMesh?docid=shzjzz201710025
【泡腳泡過三陰交，疾病走光光】 - 天明健康館,https://timing.91app.com/Article/Detail/41978
人體自有降壓藥----三陰交、懸鐘穴,http://www.relativehumanity.com.tw/cm/luanyiqin/LB41.htm
百病起於寒特惠250 冷氣房三陰交保暖腳踝保暖適合孕婦日本製 ...,https://www.ruten.com.tw/item/show?21907845613512
[健康之路]前世今生话穴位（下） 三阴交穴的前世今生 - CCTV,http://tv.cctv.com/v/v1/VIDEhUtLXDkvUPvgqvQPvKSv190514.html
