URL,Title,Sentence
https://zh.wikipedia.org/zh-tw/%E5%A4%96%E9%A0%B8%E5%8B%95%E8%84%88,外頸動脈- 维基百科，自由的百科全书,外頸動脈-維基百科，自由的百科全書
https://zh.wikipedia.org/zh-tw/%E5%A4%96%E9%A0%B8%E5%8B%95%E8%84%88,外頸動脈- 维基百科，自由的百科全书,外頸動脈
https://zh.wikipedia.org/zh-tw/%E5%A4%96%E9%A0%B8%E5%8B%95%E8%84%88,外頸動脈- 维基百科，自由的百科全书,外頸動脈外頸動脈源自總頸動脈，並供應頭頸部的構造細節拉丁語arteriacarotisexterna來源總頸動脈分支上甲狀腺動脈（英語：superiorthyroidartery）、舌動脈（英語：lingualartery）、顏面動脈（英語：facialartery）、升咽動脈（英語：ascendingpharyngealartery）、枕動脈（英語：occipitalartery）、耳後動脈（英語：posteriorauricularartery）、上頜動脈、淺顳動脈識別標示格雷氏p.551MeSHA07.231.114.186.200.210Dorlandsa_61/12153668TAA12.2.05.001FMAFMA:10635
https://zh.wikipedia.org/zh-tw/%E5%A4%96%E9%A0%B8%E5%8B%95%E8%84%88,外頸動脈- 维基百科，自由的百科全书,外頸動脈（externalcarotidartery）源自於總頸動脈，為頭頸部的一條重要動脈。
https://zh.wikipedia.org/zh-tw/%E5%A4%96%E9%A0%B8%E5%8B%95%E8%84%88,外頸動脈- 维基百科，自由的百科全书,總頸動脈有內頸動脈及外頸動脈兩條分支，外頸動脈負責供應頭頸部的血流[1]。
https://zh.wikipedia.org/zh-tw/%E5%A4%96%E9%A0%B8%E5%8B%95%E8%84%88,外頸動脈- 维基百科，自由的百科全书,外頸動脈源自於甲狀軟骨上緣，向前上行，之後向後上行至下顎骨頸部後方，並在腮腺（英語：parotidgland）處分為淺顳動脈及上頜動脈，之後管徑急速縮小。
https://zh.wikipedia.org/zh-tw/%E5%A4%96%E9%A0%B8%E5%8B%95%E8%84%88,外頸動脈- 维基百科，自由的百科全书,外頸動脈的分支包含：
https://zh.wikipedia.org/zh-tw/%E5%A4%96%E9%A0%B8%E5%8B%95%E8%84%88,外頸動脈- 维基百科，自由的百科全书,外頸動脈的終末分支共有兩條：
https://zh.wikipedia.org/zh-tw/%E5%A4%96%E9%A0%B8%E5%8B%95%E8%84%88,外頸動脈- 维基百科，自由的百科全书,閱論編頭頸部（英語：Headandneckanatomy）動脈總頸動脈外頸動脈上甲狀腺動脈（英語：Superiorthyroidartery）
https://zh.wikipedia.org/zh-tw/%E5%A4%96%E9%A0%B8%E5%8B%95%E8%84%88,外頸動脈- 维基百科，自由的百科全书,取自「https://zh.wikipedia.org/w/index.php?title=外頸動脈&oldid=46558183」
https://smallcollation.blogspot.com/2013/02/artery-aortic-arch-common-carotid-artery.html,總頸動脈(common carotid artery) - 小小整理網站Smallcollation,carotidartery(外頸動脈)之間
https://smallcollation.blogspot.com/2013/02/artery-aortic-arch-common-carotid-artery.html,總頸動脈(common carotid artery) - 小小整理網站Smallcollation,carotidartery(外頸動脈)
https://smallcollation.blogspot.com/2013/02/artery-aortic-arch-common-carotid-artery.html,總頸動脈(common carotid artery) - 小小整理網站Smallcollation,[18]與Externalcarotidartery(外頸動脈)形成的Supratrochlearartery(滑車上動脈)相互連接
https://smallcollation.blogspot.com/2013/02/artery-aortic-arch-common-carotid-artery.html,總頸動脈(common carotid artery) - 小小整理網站Smallcollation,artery(角動脈)吻合；與externalcarotidartery(外頸動脈)的Dorsalnasalartery(鼻背側動脈)吻合
https://smallcollation.blogspot.com/2013/02/artery-aortic-arch-common-carotid-artery.html,總頸動脈(common carotid artery) - 小小整理網站Smallcollation,[31]Externalcarotidartery(外頸動脈)於離開commoncarotidartery(總頸動脈)二分處時，所發出的第一個分支；起於二分處的前面，向下向前走，到達thyroidgland(甲狀腺)的上極
https://smallcollation.blogspot.com/2013/02/artery-aortic-arch-common-carotid-artery.html,總頸動脈(common carotid artery) - 小小整理網站Smallcollation,muscle(甲狀舌骨肌)之下，與superiorlaryngealnerve(喉上神經)的internallaryngealbranch(喉內分支)伴行；於接近外頸動脈的兩分點處與上甲狀腺動脈分支，穿透甲狀舌骨膜並與另一邊的Superiorlaryngealartery(上喉動脈)吻合
https://smallcollation.blogspot.com/2013/02/artery-aortic-arch-common-carotid-artery.html,總頸動脈(common carotid artery) - 小小整理網站Smallcollation,[34]往下並往外走，跨越總頸動脈；常與外頸動脈獨立分支
https://smallcollation.blogspot.com/2013/02/artery-aortic-arch-common-carotid-artery.html,總頸動脈(common carotid artery) - 小小整理網站Smallcollation,carotidartery(外頸動脈)於離開頸總動脈二分處時，所發出的第二個分支，也是最小的一個分支。
https://smallcollation.blogspot.com/2013/02/artery-aortic-arch-common-carotid-artery.html,總頸動脈(common carotid artery) - 小小整理網站Smallcollation,carotidartery(外頸動脈)的後面，向上走於internalcarotidartery(內頸動脈)和pharyngeal(咽)之間
https://smallcollation.blogspot.com/2013/02/artery-aortic-arch-common-carotid-artery.html,總頸動脈(common carotid artery) - 小小整理網站Smallcollation,carotidartery(外頸動脈)的前面，superiorthyroidartery(上甲狀腺動脈)的上方，約hyoidbone(舌骨)的高度，走於sublingualnerve(舌下神經)的深處，走於Middle
https://smallcollation.blogspot.com/2013/02/artery-aortic-arch-common-carotid-artery.html,總頸動脈(common carotid artery) - 小小整理網站Smallcollation,carotidartery(外頸動脈)的後面，靠近facilaartery(顏面動)脈的起點處，向上向後走於digastric
https://smallcollation.blogspot.com/2013/02/artery-aortic-arch-common-carotid-artery.html,總頸動脈(common carotid artery) - 小小整理網站Smallcollation,artery(枕動脈)之起源不遠處，但也有時直接從externalcarotidartery(外頸動脈)分支出來；其動脈往下往後行經過sublingualnerve(舌下神經)，並於sternocleidomastoid
