Title,url
【泌尿科】攝護腺肥大的診斷與治療– 中山醫學大學附設醫院,http://web.csh.org.tw/web/222010/?p=3061
頻尿、夜尿太困擾！專家這6招，改善攝護腺肥大好簡單,https://thebetteraging.businesstoday.com.tw/article/detail/201902140018/157883/%E9%A0%BB%E5%B0%BF%E3%80%81%E5%A4%9C%E5%B0%BF%E5%A4%AA%E5%9B%B0%E6%93%BE%EF%BC%81%E5%B0%88%E5%AE%B6%E9%80%996%E6%8B%9B%EF%BC%8C%E6%94%B9%E5%96%84%E6%94%9D%E8%AD%B7%E8%85%BA%E8%82%A5%E5%A4%A7%E5%A5%BD%E7%B0%A1%E5%96%AE
尿不完的日子攝護腺變肥大囉！ - 中國醫藥大學附設醫院,https://www.cmuh.cmu.edu.tw/NewsInfo/NewsArticle?no=4502
攝護腺肥大一定要手術治療嗎 - 高雄榮民總醫院,https://org.vghks.gov.tw/gu/News_Content.aspx?n=443D52499B00880B&sms=75CDA1900F405FB4&s=871782919DF02740
男性的長壽病~談男性攝護腺肥大症– 國軍桃園總醫院,https://www.aftygh.gov.tw/information/%E7%94%B7%E6%80%A7%E7%9A%84%E9%95%B7%E5%A3%BD%E7%97%85%E8%AB%87%E7%94%B7%E6%80%A7%E6%94%9D%E8%AD%B7%E8%85%BA%E8%82%A5%E5%A4%A7%E7%97%87/
攝護腺肥大的手術治療—雷射手術真的有必要嗎？-台大醫院 ...,https://www.tmua.org.tw/drSpecialColumn/drSpecialColumnArticle/LaserOp(drSpecialColumn).html
男人停看聽－認識攝護腺3大疾病 - 哈佛健診,https://www.hvc.com.tw/content/125
啟新健康世界-專業健康檢查/醫學健康促進,http://www.ch.com.tw/index.aspx?sv=ch_fitness&chapter=ABD030301
搶救攝護腺大作戰！ - YouTube,https://www.youtube.com/watch?v=Xj0q2M-jfUE
攝護腺肥大患者須知,http://www.kmsh.gov.tw/Files/Files/F00001021.pdf
攝護腺肥大成因、預防與治療醫師圖文完整解說| 美的好朋友,https://www.medpartner.club/benign-prostate-hyperplasia-cause-treatment/
泌尿科名醫解答／年過50，攝護腺肥大、勃起障礙找上門 ...,https://www.commonhealth.com.tw/article/article.action?nid=76815
如何控制攝護腺肥大- 康健雜誌,https://www.commonhealth.com.tw/article/article.action?nid=67208
攝護腺肥大的成因與治療-財團法人台灣癌症臨床研究發展基金會,http://web.tccf.org.tw/lib/addon.php?act=post&id=3795
良性攝護腺增生及攝護腺炎的診斷及治療 - 馬偕紀念醫院,http://www.mmh.org.tw/MackayInfo2/article/B308/598.htm
排尿障礙：談攝護腺肥大,http://www.kmuh.org.tw/www/kmcj/data/10506/8.htm
攝護腺肥大治療新趨勢,https://www.cgmh.org.tw/cgmn/cgmn_file/1506014.pdf
攝護腺肥大保健護理師教你5招- 照護線上,https://www.careonline.com.tw/2019/05/prostate.html
攝護腺肥大免驚！5種飲食、行為改善、治療方法報你知| iHealth,https://www.ihealth.com.tw/article/%E6%94%9D%E8%AD%B7%E8%85%BA%E8%82%A5%E5%A4%A7/
解尿難尿不淨／攝護腺肥大導致不舉？ 醫師：無因果關係| 生活 ...,https://udn.com/news/story/7266/4763865
臺北市立聯合醫院忠孝院區-泌尿科-肥不肥有關係-攝護腺肥大,https://tpech.gov.taipei/mp109171/News_Content.aspx?n=8066B6AC04A0A20B&s=95A7C51BD3D4D601
攝護腺初期、中期、末期症狀與治療方式說明- 亞洲大學附屬醫院,https://www.auh.org.tw/NewsInfo/HealthEducationInfo?docid=2123
攝護腺肥大,https://www.tahsda.org.tw/m/files/SDM/%E6%94%9D%E8%AD%B7%E8%85%BA%E8%82%A5%E5%A4%A7%E9%86%AB%E7%97%85%E5%85%B1%E4%BA%AB%E6%B1%BA%E7%AD%96%E8%BC%94%E5%8A%A9%E5%88%86%E6%9E%90%E8%A1%A8.pdf
"攝護腺肥大如何診斷 - 攝護腺保健衛教網站- 攝護腺,攝護腺肥大 ...",http://www.pfizer.com.tw/mediacalinfo/2010/05/Page03.asp
外科-攝護腺疾病-高點醫護網,http://doctor.get.com.tw/m/Journal/detail.aspx?no=402720
前列腺- 維基百科，自由的百科全書 - Wikipedia,https://zh.wikipedia.org/zh-tw/%E5%89%8D%E5%88%97%E8%85%BA
攝護腺肥大問題別逃避！醫：長期尿滯留讓人瀕臨腎衰竭| Heho ...,https://heho.com.tw/archives/93868
攝護腺肥大的中藥和西藥治療研究回顧與新知,https://www.nricm.edu.tw/p/16-1000-5844.php?Lang=zh-tw
