Title,url
"Crane, shear leg - 活動雙肢起重機 - 國家教育研究院雙語詞彙",http://terms.naer.edu.tw/detail/280661/
腿(節肢動物) - 維基百科，自由的百科全書 - Wikipedia,https://zh.wikipedia.org/zh-tw/%E8%85%BF_(%E8%8A%82%E8%82%A2%E5%8A%A8%E7%89%A9)
双肢箍_百度百科,https://baike.baidu.com/item/%E5%8F%8C%E8%82%A2%E7%AE%8D
橙子的店吊鉗合金鋼雙肢油桶吊鉗0.5T鏈條式成套油 ... - 露天拍賣,https://www.ruten.com.tw/item/show?21941222342259
可調式前肢/肱骨關節護具（雙肢） - 登興工業股份有限公司(得 ...,https://www.triad-orthopedic.com/goods1-22.html
可調式股關節護具（雙肢） - 登興工業股份有限公司(得泰國際 ...,https://www.triad-orthopedic.com/goods1-23.html
Airiti Library華藝線上圖書館_單、雙肢複合療法改善慢性中風 ...,https://www.airitilibrary.com/Publication/alDetailedMesh?DocID=U0001-2507201802275100
Airiti Library華藝線上圖書館_双肢柱空腹桁架分离式外套结构加 ...,https://www.airitilibrary.com/Publication/alDetailedMesh?docid=10050523-200808-25-4-6-10-a
橙子的店吊鉗合金鋼雙肢油桶吊鉗0.5T鏈條式成套油 ... - 奇摩拍賣,https://tw.bid.yahoo.com/item/%E6%A9%99%E5%AD%90%E7%9A%84%E5%BA%97-%E5%90%8A%E9%89%97%E5%90%88%E9%87%91%E9%8B%BC%E9%9B%99%E8%82%A2%E6%B2%B9%E6%A1%B6%E5%90%8A%E9%89%97-0-5T%E9%8F%88%E6%A2%9D%E5%BC%8F%E6%88%90%E5%A5%97%E6%B2%B9%E6%A1%B6-100718756368
双肢冷弯薄壁C型钢房屋结构理论与设计: 赵根田陈明 ...,https://www.amazon.com/%E5%8F%8C%E8%82%A2%E5%86%B7%E5%BC%AF%E8%96%84%E5%A3%81C%E5%9E%8B%E9%92%A2%E6%88%BF%E5%B1%8B%E7%BB%93%E6%9E%84%E7%90%86%E8%AE%BA%E4%B8%8E%E8%AE%BE%E8%AE%A1-%E8%B5%B5%E6%A0%B9%E7%94%B0-%E9%99%88%E6%98%8E/dp/7112177553
marcos合金鋼模鍛雙肢油桶吊鉗起重索具鏈條1T ... - 蝦皮購物,https://shopee.tw/marcos%E5%90%88%E9%87%91%E9%8B%BC%E6%A8%A1%E9%8D%9B%E9%9B%99%E8%82%A2%E6%B2%B9%E6%A1%B6%E5%90%8A%E9%89%97-%E8%B5%B7%E9%87%8D%E7%B4%A2%E5%85%B7%E9%8F%88%E6%A2%9D-1T%E6%88%90%E5%A5%97%E6%B2%B9%E6%A1%B6%E5%90%8A%E5%85%B7-%E6%B2%B9%E6%A1%B6%E5%A4%BE%E5%85%B7-i.238334569.6337439468
吊鉗合金鋼雙肢油桶吊鉗0.5T鏈條式成套油桶吊具 ... - Yahoo拍賣,https://tw.bid.yahoo.com/item/%E5%90%8A%E9%89%97%E5%90%88%E9%87%91%E9%8B%BC%E9%9B%99%E8%82%A2%E6%B2%B9%E6%A1%B6%E5%90%8A%E9%89%97-0-5T%E9%8F%88%E6%A2%9D%E5%BC%8F%E6%88%90%E5%A5%97%E6%B2%B9%E6%A1%B6%E5%90%8A%E5%85%B7%E6%96%B0%E6%AC%BE-100831810186
不同连梁跨高比带暗支撑双肢剪力墙抗震性能试验研究-《地震 ...,http://dzgc.iemzzs.com/oa/darticle.aspx?type=view&id=20050116
博客來-雙肢冷彎薄壁C型鋼房屋結構理論與設計,https://www.books.com.tw/products/CN11520247
CN103860355A - 双肢镜像运动训练设备- Google Patents,https://patents.google.com/patent/CN103860355A/zh
CN103860355A - 双肢镜像运动训练设备- Google Patents,https://www.google.com/patents/CN103860355A?cl=fi
黃角光水蚤- 教育百科,https://pedia.cloud.edu.tw/Entry/Detail/?title=%E9%BB%83%E8%A7%92%E5%85%89%E6%B0%B4%E8%9A%A4&search=%E5%85%89
達摩拍打功第1部雙肢腿- YouTube,https://www.youtube.com/watch?v=wQe5b4SwFtI
双肢箍– 建筑百科,https://baike.ciip.com/item/wordDetails?wordId=62b1ecf8-47ee-41c0-a438-9a76d23bb4de
